release_year,metascore,userscore,metascore_count,platforms,userscore_count
2000,97.0,84.0,30,2,664
2008,98.0,83.0,86,3,6031
2001,97.0,76.0,34,6,712
2014,97.0,85.0,66,7,15292
1998,99.0,91.0,22,1,12158
1999,98.0,76.0,24,3,766
2018,97.0,89.0,99,3,33435
2010,97.0,90.0,87,1,3378
2007,97.0,91.0,73,1,4866
2017,97.0,89.0,109,2,25809
2000,97.0,54.0,22,1,145
2001,97.0,80.0,56,2,2250
2002,97.0,91.0,70,1,1710
2001,97.0,86.0,68,2,3368
2007,96.0,88.0,88,4,4067
2004,96.0,91.0,81,2,10689
1997,96.0,88.0,21,1,1115
2007,96.0,88.0,54,3,888
2005,96.0,91.0,82,4,3010
2009,96.0,89.0,105,1,8049
2023,96.0,92.0,112,3,20175
2017,97.0,89.0,114,1,11059
2021,96.0,71.0,10,1,687
1998,96.0,88.0,15,1,1287
2010,96.0,89.0,98,3,3532
1998,96.0,85.0,16,1,651
1998,96.0,89.0,24,2,5815
2022,96.0,84.0,86,3,22089
2011,96.0,86.0,89,3,7441
2023,96.0,88.0,150,1,14077
2003,96.0,90.0,80,1,2041
2000,95.0,90.0,30,1,1728
2022,95.0,86.0,10,1,220
2025,95.0,83.0,18,1,887
2002,95.0,86.0,62,2,3061
2004,95.0,87.0,91,2,2141
2001,95.0,83.0,54,1,490
2008,95.0,82.0,85,2,1743
2003,95.0,87.0,8,1,283
2004,95.0,91.0,80,4,5744
2000,95.0,92.0,27,1,2285
2002,95.0,65.0,25,5,67
2010,95.0,89.0,96,2,4550
2014,95.0,92.0,70,1,21712
2020,95.0,87.0,71,5,6291
2006,95.0,89.0,73,2,2355
2003,96.0,77.0,33,1,129
2002,95.0,89.0,30,1,954
2013,95.0,92.0,98,1,16803
2001,96.0,89.0,42,1,2457
2000,94.0,89.0,22,5,1957
2024,94.0,91.0,136,1,5575
2024,94.0,83.0,64,3,4389
2001,94.0,82.0,37,2,1415
2001,94.0,50.0,23,6,42
2011,94.0,88.0,87,3,3978
2023,94.0,88.0,95,1,1753
2000,94.0,87.0,16,1,578
2011,94.0,91.0,85,1,2319
2011,95.0,89.0,66,3,3564
2025,95.0,86.0,53,3,1206
2025,94.0,86.0,15,1,767
2018,94.0,90.0,118,2,29571
2002,94.0,82.0,27,5,278
2003,94.0,67.0,29,5,62
2006,94.0,82.0,88,2,2184
1996,94.0,86.0,7,1,533
2006,94.0,85.0,90,3,1711
2007,94.0,85.0,70,5,2618
1996,94.0,86.0,9,2,1186
2024,94.0,85.0,54,3,2644
2013,94.0,86.0,68,3,11481
1998,94.0,87.0,15,1,935
1998,94.0,93.0,20,1,2624
2003,94.0,86.0,25,1,542
2005,94.0,85.0,32,1,307
2000,94.0,84.0,24,4,147
2007,94.0,87.0,86,2,3388
2000,94.0,83.0,18,1,349
2005,94.0,85.0,70,6,407
2004,94.0,87.0,76,2,331
2022,94.0,83.0,141,2,15375
2006,94.0,91.0,53,1,992
2005,94.0,88.0,75,1,3334
1996,94.0,86.0,12,1,1676
2002,94.0,79.0,36,1,80
2009,94.0,80.0,100,3,3104
2008,94.0,87.0,82,1,2950
2006,93.0,85.0,55,2,1285
2020,93.0,58.0,121,1,166719
2005,94.0,84.0,50,1,1070
1999,93.0,88.0,23,1,497
2003,94.0,89.0,72,4,874
2009,93.0,75.0,85,3,460
2008,93.0,87.0,81,1,1856
2020,93.0,91.0,69,1,2973
